timestamp,source,measurement,value,unit,resolution
2010-04-05T08:00:00Z,GOES11_EPHEMERIS,position,6.611113186273751,Re,3min
2010-04-05T08:00:30Z,GOES11_MAG,b_gsm,75.9828519825691,nT,1min
2010-04-05T08:01:30Z,GOES11_MAG,b_gsm,75.53952617636097,nT,1min
2010-04-05T08:02:30Z,GOES11_MAG,b_gsm,75.46855618004959,nT,1min
2010-04-05T08:02:30Z,GOES11_EP8,e_flux,355.7844,particles/cm2/s/sr,5min
2010-04-05T08:03:00Z,GOES11_EPHEMERIS,position,6.611114597535441,Re,3min
2010-04-05T08:03:30Z,GOES11_MAG,b_gsm,75.54365638120902,nT,1min
2010-04-05T08:04:30Z,GOES11_MAG,b_gsm,75.45366777008132,nT,1min
2010-04-05T08:05:30Z,GOES11_MAG,b_gsm,75.26341499357058,nT,1min
2010-04-05T08:06:00Z,GOES11_EPHEMERIS,position,6.611116613376024,Re,3min
2010-04-05T08:06:30Z,GOES11_MAG,b_gsm,75.25807849934584,nT,1min
2010-04-05T08:07:30Z,GOES11_EP8,e_flux,337.2367,particles/cm2/s/sr,5min
2010-04-05T08:07:30Z,GOES11_MAG,b_gsm,75.45872485600654,nT,1min
2010-04-05T08:08:30Z,GOES11_MAG,b_gsm,75.23738729198418,nT,1min
2010-04-05T08:09:00Z,GOES11_EPHEMERIS,position,6.611118649606109,Re,3min
2010-04-05T08:09:30Z,GOES11_MAG,b_gsm,75.42452026773303,nT,1min
2010-04-05T08:10:30Z,GOES11_MAG,b_gsm,75.53986203998285,nT,1min
2010-04-05T08:11:30Z,GOES11_MAG,b_gsm,75.66401879426901,nT,1min
2010-04-05T08:12:00Z,GOES11_EPHEMERIS,position,6.611120673059344,Re,3min
2010-04-05T08:12:30Z,GOES11_EP8,e_flux,319.7376,particles/cm2/s/sr,5min
2010-04-05T08:12:30Z,GOES11_MAG,b_gsm,76.3636432923917,nT,1min
2010-04-05T08:13:30Z,GOES11_MAG,b_gsm,76.36513290880599,nT,1min
2010-04-05T08:14:30Z,GOES11_MAG,b_gsm,76.30435318544824,nT,1min
2010-04-05T08:15:00Z,GOES11_EPHEMERIS,position,6.611121707814189,Re,3min
2010-04-05T08:15:30Z,GOES11_MAG,b_gsm,76.09015130066851,nT,1min
2010-04-05T08:16:30Z,GOES11_MAG,b_gsm,75.90764407985088,nT,1min
2010-04-05T08:17:30Z,GOES11_MAG,b_gsm,75.60735761920549,nT,1min
2010-04-05T08:17:30Z,GOES11_EP8,e_flux,313.3776,particles/cm2/s/sr,5min
2010-04-05T08:18:00Z,GOES11_EPHEMERIS,position,6.611122824065671,Re,3min
2010-04-05T08:18:30Z,GOES11_MAG,b_gsm,75.67050231389682,nT,1min
2010-04-05T08:19:30Z,GOES11_MAG,b_gsm,75.56163629481672,nT,1min
2010-04-05T08:20:30Z,GOES11_MAG,b_gsm,75.67183682131551,nT,1min
2010-04-05T08:21:00Z,GOES11_EPHEMERIS,position,6.611124146879444,Re,3min
2010-04-05T08:21:30Z,GOES11_MAG,b_gsm,75.58972103079175,nT,1min
2010-04-05T08:22:30Z,GOES11_EP8,e_flux,304.6586,particles/cm2/s/sr,5min
2010-04-05T08:22:30Z,GOES11_MAG,b_gsm,74.90421053602394,nT,1min
2010-04-05T08:23:30Z,GOES11_MAG,b_gsm,74.00418126612452,nT,1min
2010-04-05T08:24:00Z,GOES11_EPHEMERIS,position,6.611124863288029,Re,3min
2010-04-05T08:24:30Z,GOES11_MAG,b_gsm,73.4011477607762,nT,1min
2010-04-05T08:25:30Z,GOES11_MAG,b_gsm,72.82654572723622,nT,1min
2010-04-05T08:26:30Z,GOES11_MAG,b_gsm,72.31153797519923,nT,1min
2010-04-05T08:27:00Z,GOES11_EPHEMERIS,position,6.6111261976710045,Re,3min
2010-04-05T08:27:30Z,GOES11_MAG,b_gsm,71.8421870552906,nT,1min
