timestamp,source,measurement,value,unit,resolution
2017-09-08T14:00:00Z,GOES16_SGPS,p_flux,50.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:01:00Z,GOES16_SGPS,p_flux,51.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:02:00Z,GOES16_SGPS,p_flux,53.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:03:00Z,GOES16_SGPS,p_flux,54.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:04:00Z,GOES16_SGPS,p_flux,56.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:05:00Z,GOES16_SGPS,p_flux,57.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:06:00Z,GOES16_SGPS,p_flux,59.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:07:00Z,GOES16_SGPS,p_flux,60.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:08:00Z,GOES16_SGPS,p_flux,62.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:09:00Z,GOES16_SGPS,p_flux,63.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:10:00Z,GOES16_SGPS,p_flux,65.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:11:00Z,GOES16_SGPS,p_flux,66.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:12:00Z,GOES16_SGPS,p_flux,68.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:13:00Z,GOES16_SGPS,p_flux,69.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:14:00Z,GOES16_SGPS,p_flux,71.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:15:00Z,GOES16_SGPS,p_flux,72.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:16:00Z,GOES16_SGPS,p_flux,74.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:17:00Z,GOES16_SGPS,p_flux,75.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:18:00Z,GOES16_SGPS,p_flux,77.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:19:00Z,GOES16_SGPS,p_flux,78.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:20:00Z,GOES16_SGPS,p_flux,80.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:21:00Z,GOES16_SGPS,p_flux,81.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:22:00Z,GOES16_SGPS,p_flux,83.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:23:00Z,GOES16_SGPS,p_flux,84.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:24:00Z,GOES16_SGPS,p_flux,86.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:25:00Z,GOES16_SGPS,p_flux,87.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:26:00Z,GOES16_SGPS,p_flux,89.0,particles/cm2/s/sr/MeV,1min
2017-09-08T14:27:00Z,GOES16_SGPS,p_flux,90.5,particles/cm2/s/sr/MeV,1min
2017-09-08T14:28:00Z,GOES16_SGPS,p_flux,92.0,particles/cm2/s/sr/MeV,1min
